Title,Genre,Actors,Director,Writer,Language,Box_office,Country,Released,Runtime,imdbRating,Awards,Poster
Dead Men Don't Wear Plaid,"Comedy, Crime, Mystery","8031       Steve Martin
61101       Rachel Ward
73753       Carl Reiner
102166    George Gaynes
Name: Actor, dtype: object",['Carl Reiner'],"Carl Reiner, George Gipe, Steve Martin",English,"16,959,911",USA,21 May 1982,88 min,6.8,,tt0083798.jpg
Grease 2,"Comedy, Drama, Musical","8678         Michelle Pfeiffer
29811                Eve Arden
36125        Maxwell Caulfield
50291     Christopher McDonald
89614                Didi Conn
93991             Eddie Deezen
94904           Lucinda Dickey
113144             Janet Jones
144445            Pamela Adlon
148465          Connie Stevens
148669          Dennis Stewart
153993             Tom Villard
Name: Actor, dtype: object",['Patricia Birch'],Ken Finkleman,English,"11,608,405",USA,11 Jun 1982,115 min,4.2,3 nominations.,tt0084021.jpg
Halloween III: Season of the Witch,"Horror, Sci-Fi","5294        Jamie Lee Curtis
127221    Joshua John Miller
Name: Actor, dtype: object",['Tommy Lee Wallace'],Tommy Lee Wallace,English,"14,400,000",USA,22 Oct 1982,98 min,4.5,1 nomination.,tt0085636.jpg
Diner,"Comedy, Drama","4147           Kevin Bacon
12140         Ellen Barkin
17803     Steve Guttenberg
25805        Mickey Rourke
55230          Paul Reiser
68530             Tim Daly
148414        Daniel Stern
Name: Actor, dtype: object",['Barry Levinson'],Barry Levinson,English,"14,100,000",USA,21 May 1982,110 min,7.2,Nominated for 1 Oscar. Another 3 wins & 5 nominations.,tt0083833.jpg
Visiting Hours,"Horror, Thriller","19378     Michael Ironside
26246      William Shatner
104135           Lee Grant
137002          Linda Purl
Name: Actor, dtype: object",['Jean-Claude Lord'],Brian Taggert (screenplay),English,"12,111,208",Canada,28 May 1982,103 min,5.5,2 nominations.,tt0083296.jpg
Author! Author!,"Comedy, Drama, Family","8562           Al Pacino
35304        Dyan Cannon
61406       Tuesday Weld
62702     Richard Belzer
151859      James Tolkan
Name: Actor, dtype: object",['Arthur Hiller'],Israel Horovitz,English,"10,576,604",USA,18 Jun 1982,110 min,6.1,Nominated for 1 Golden Globe. Another 1 nomination.,tt0083598.jpg
Hanky Panky,"Action, Comedy, Crime","24621     Kathleen Quinlan
28446          Gene Wilder
61675      Richard Widmark
76074     Jonathan Winters
76479       William Sadler
85301       Larry Bryggman
98283       Frankie Faison
136774       Robert Prosky
142792      Jay O. Sanders
151860        James Tolkan
Name: Actor, dtype: object",['Sidney Poitier'],"Henry Rosenbaum, David Taylor",English,"9,434,062",USA,04 Jun 1982,110 min,5.5,,tt0084049.jpg
The Beast Within,Horror,"37276          Ronny Cox
113181        L.Q. Jones
150534    Meshach Taylor
Name: Actor, dtype: object",['Philippe Mora'],"Tom Holland (screen story and screenplay by), Edward Levy (based on the novel by)",English,"1,400,000",USA,12 Feb 1982,98 min,5.5,,tt0083629.jpg
I Ought to Be in Pictures,"Comedy, Drama","11274          Ann-Margret
21888       Walter Matthau
39611     Michael Dudikoff
49637         Dinah Manoff
69026       David Faustino
105263         Lance Guest
116910         Art LaFleur
146633         Lewis Smith
Name: Actor, dtype: object",['Herbert Ross'],"Neil Simon (play), Neil Simon (screenplay)","English, Spanish","6,968,359",USA,26 Mar 1982,108 min,6.1,,tt0084109.jpg
Six Weeks,Drama,"51051        Dudley Moore
51072    Mary Tyler Moore
97256          Susan Egan
Name: Actor, dtype: object",['Tony Bill'],"Fred Mustard Stewart (novel), David Seltzer (screenplay)",English,"6,700,000",USA,17 Dec 1982,107 min,5.6,Nominated for 2 Golden Globes. Another 2 nominations.,tt0084691.jpg
Evil Under the Sun,Mystery,"2024        James Mason
33168       Jane Birkin
50331    Roddy McDowall
55518        Diana Rigg
58284      Maggie Smith
60445     Peter Ustinov
88958     Nicholas Clay
Name: Actor, dtype: object",['Guy Hamilton'],Anthony Shaffer (screenplay),"English, German, French","4,659,287",UK,05 Mar 1982,117 min,7.0,1 nomination.,tt0083908.jpg
The Last American Virgin,"Comedy, Drama, Romance","78799         Steve Antin
100443     Diane Franklin
139859    Kimmy Robertson
Name: Actor, dtype: object",['Boaz Davidson'],Boaz Davidson,English,"5,800,000",USA,30 Jul 1982,92 min,6.2,,tt0084234.jpg
Megaforce,"Sci-Fi, Action","33769       Barry Bostwick
46981     Persis Khambatta
81260         Michael Beck
100965       Robert Fuller
145877         Henry Silva
Name: Actor, dtype: object",['Hal Needham'],"Bob Kachler (story), James Whittaker (screenplay), Albert S. Ruddy (screenplay), Hal Needham (screenplay), Andre Morgan (screenplay)",English,"5,333,658","USA, Hong Kong",25 Jun 1982,99 min,3.5,3 nominations.,tt0084316.jpg
Paradise,"Adventure, Romance","4933     Phoebe Cates
28934    Willie Aames
Name: Actor, dtype: object",['Stuart Gillard'],Stuart Gillard,English,"5,588,800",Canada,07 May 1982,100 min,4.8,1 nomination.,tt0084469.jpg
Wrong Is Right,"Comedy, Drama, Thriller","5060              Sean Connery
20610     Jennifer Jason Leigh
23167           Leslie Nielsen
37046            Robert Conrad
55913           Katharine Ross
59206           Dean Stockwell
113294            Mickey Jones
128080               Ron Moody
143231              John Saxon
145878             Henry Silva
Name: Actor, dtype: object",['Richard Brooks'],"Charles McCarry (novel), Richard Brooks (written for the screen by)",English,"3,289,545",USA,14 May 1982,117 min,5.8,1 nomination.,tt0084920.jpg
Fighting Back,"Action, Crime, Drama","26492     Tom Skerritt
47501     Yaphet Kotto
121224    Patti LuPone
137709    David Rasche
146251    Frank Sivero
Name: Actor, dtype: object",['Lewis Teague'],"Thomas Hedley Jr., David Zelag Goodman",English,"3,016,496",USA,21 May 1982,98 min,5.9,,tt0083936.jpg
"Yes, Giorgio","Comedy, Musical","29305        Eddie Albert
65407     Kathryn Harrold
109833         James Hong
Name: Actor, dtype: object",['Franklin J. Schaffner'],"Anne Piper (novel), Norman Steinberg","English, Italian","1,000,000",USA,24 Sep 1982,110 min,4.1,Nominated for 1 Oscar. Another 4 nominations.,tt0084931.jpg
Lookin' to Get Out,Comedy,"['Jon Voight', 'Ann-Margret', 'Burt Young', 'Bert Remsen']",['Hal Ashby'],"Al Schwartz, Jon Voight",English,"300,000",USA,30 Jun 1983,105 min,5.2,,tt0084268.jpg
Terms of Endearment,"Comedy, Drama","8417       Jack Nicholson
15021        Danny DeVito
21247    Shirley MacLaine
28521        Debra Winger
34555       Albert Brooks
38175        Jeff Daniels
48935        John Lithgow
73469      Mary Kay Place
Name: Actor, dtype: object",['James L. Brooks'],"Larry McMurtry (based on the novel by), James L. Brooks (screenplay)",English,"108,423,489",USA,09 Dec 1983,132 min,7.4,Won 5 Oscars. Another 26 wins & 17 nominations.,tt0086425.jpg
Flashdance,"Drama, Romance, Music","32026     Jennifer Beals
131418     Michael Nouri
138612    Cynthia Rhodes
Name: Actor, dtype: object",['Adrian Lyne'],"Thomas Hedley Jr. (screenplay), Joe Eszterhas (screenplay), Thomas Hedley Jr. (story)",English,"94,900,000",USA,15 Apr 1983,95 min,6.1,Won 1 Oscar. Another 10 wins & 14 nominations.,tt0085549.jpg
Trading Places,Comedy,"4084             Dan Aykroyd
5292        Jamie Lee Curtis
20243            John Landis
22888           Eddie Murphy
23498               Frank Oz
29494             Don Ameche
32317          Ralph Bellamy
32570            Jim Belushi
40583        Denholm Elliott
64187     Giancarlo Esposito
89167             Bill Cobbs
102929          Paul Gleason
146496           Clint Smith
Name: Actor, dtype: object",['John Landis'],"Timothy Harris, Herschel Weingrod",English,"90,400,000",USA,08 Jun 1983,116 min,7.5,Nominated for 1 Oscar. Another 3 wins & 4 nominations.,tt0086465.jpg
WarGames,"Sci-Fi, Thriller","4487      Matthew Broderick
21366       William H. Macy
21536        Michael Madsen
26304           Ally Sheedy
36718        Dabney Coleman
63433         Maury Chaykin
90435          Barry Corbin
93988          Eddie Deezen
116906          Art LaFleur
147625         John Spencer
151857         James Tolkan
Name: Actor, dtype: object",['John Badham'],"Lawrence Lasker, Walter F. Parkes",English,"79,568,000",USA,03 Jun 1983,114 min,7.1,Nominated for 3 Oscars. Another 4 wins & 11 nominations.,tt0086567.jpg
Octopussy,"Action, Adventure, Thriller","22733        Roger Moore
29197         Maud Adams
32903     Steven Berkoff
107847         Mark Heap
135814       Ingrid Pitt
Name: Actor, dtype: object",['John Glen'],"George MacDonald Fraser (screen story and screenplay), Richard Maibaum (screen story and screenplay), Michael G. Wilson (screen story and screenplay)","English, Russian, German, Spanish","67,900,000","UK, USA",10 Jun 1983,131 min,6.6,2 wins & 3 nominations.,tt0086034.jpg
Sudden Impact,"Action, Thriller","5795        Clint Eastwood
71896       Camryn Manheim
95139     Bradford Dillman
109129          Pat Hingle
120180        Sondra Locke
Name: Actor, dtype: object",['Clint Eastwood'],"Harry Julian Fink (characters), Rita M. Fink (characters), Joseph Stinson (screenplay), Earl E. Smith (story), Charles B. Pierce (story)",English,"67,600,000",USA,09 Dec 1983,117 min,6.6,,tt0086383.jpg
Staying Alive,"Drama, Music, Romance","9955      Sylvester Stallone
10295          John Travolta
45524          Finola Hughes
58242         Kurtwood Smith
111062           Joyce Hyser
113142           Janet Jones
138613        Cynthia Rhodes
148009        Frank Stallone
Name: Actor, dtype: object",['Sylvester Stallone'],"Nik Cohn (characters), Sylvester Stallone, Norman Wexler",English,"63,800,000",USA,15 Jul 1983,93 min,4.4,Nominated for 1 Golden Globe. Another 5 nominations.,tt0086361.jpg
Mr. Mom,"Comedy, Drama","17111             Teri Garr
19831        Michael Keaton
21041     Christopher Lloyd
59578        Jeffrey Tambor
79768        Taliesin Jaffe
112371          Ann Jillian
116034    Frederick Koehler
124617         Edie McClurg
129559          Martin Mull
Name: Actor, dtype: object",['Stan Dragoti'],John Hughes,English,"64,800,000",USA,19 Aug 1983,91 min,6.5,1 win & 1 nomination.,tt0085970.jpg
Risky Business,"Comedy, Crime, Drama","5252             Tom Cruise
14947     Rebecca De Mornay
23745             Sean Penn
29608        Kevin Anderson
42469         Jason Gedrick
52312        Joe Pantoliano
53373       Bronson Pinchot
72764        Megan Mullally
79102      Curtis Armstrong
92835          Shera Danese
120230        Anne Lockhart
123944        Richard Masur
136873       Nicholas Pryor
143298       Raphael Sbarge
Name: Actor, dtype: object",['Paul Brickman'],Paul Brickman,"English, German","63,500,000",USA,05 Aug 1983,99 min,6.8,Nominated for 1 Golden Globe. Another 2 nominations.,tt0086200.jpg
National Lampoon's Vacation,"Adventure, Comedy","13819              Chevy Chase
14559         Beverly D'Angelo
24665             Harold Ramis
35277               John Candy
43854     Anthony Michael Hall
54223              Randy Quaid
63005        Christie Brinkley
64968             Henry Gibson
71074           Jane Krakowski
80805              Dana Barron
95026               John Diehl
96062       Brian Doyle-Murray
113291            Mickey Jones
119197             Eugene Levy
Name: Actor, dtype: object",['Harold Ramis'],"John Hughes (screenplay), John Hughes (short story \",English,"61,400,000",USA,29 Jul 1983,98 min,7.4,,tt0085995.jpg
Superman III,"Action, Comedy, Sci-Fi","23499              Frank Oz
51916       Annette O'Toole
54097         Richard Pryor
55075     Christopher Reeve
60646         Robert Vaughn
115155        Margot Kidder
132051      Gavan O'Herlihy
148309    Pamela Stephenson
Name: Actor, dtype: object",['Richard Lester'],"Joe Shuster (character created by: Superman), Jerry Siegel (character created by: Superman), David Newman (screenplay), Leslie Newman (screenplay)","English, Italian, Spanish","60,000,000","UK, USA",17 Jun 1983,125 min,4.9,2 wins & 6 nominations.,tt0086393.jpg
The Big Chill,"Comedy, Drama","5148       Kevin Costner
6608       Jeff Goldblum
7733         Kevin Kline
12358       Tom Berenger
14015        Glenn Close
19166       William Hurt
27700          Meg Tilly
61878    JoBeth Williams
73470     Mary Kay Place
Name: Actor, dtype: object",['Lawrence Kasdan'],"Lawrence Kasdan, Barbara Benedek",English,"56,400,000",USA,30 Sep 1983,105 min,7.2,Nominated for 3 Oscars. Another 3 wins & 5 nominations.,tt0085244.jpg
Never Say Never Again,"Action, Adventure, Thriller","4021       Rowan Atkinson
4389         Kim Basinger
5059         Sean Connery
13494     Barbara Carrera
62625       Max von Sydow
64642          Edward Fox
132052    Gavan O'Herlihy
139630          Pat Roach
Name: Actor, dtype: object",['Irvin Kershner'],"Kevin McClory (based on an original story by), Jack Whittingham (based on an original story by), Ian Fleming (based on an original story by), Lorenzo Semple Jr. (screenplay)","English, French, Spanish, Arabic","55,500,000","UK, USA, West Germany",07 Oct 1983,134 min,6.2,Nominated for 1 Golden Globe. Another 1 win & 2 nominations.,tt0086006.jpg
Jaws 3-D,Horror,"24571            Dennis Quaid
27622            Lea Thompson
29918          Bess Armstrong
42910       Louis Gossett Jr.
121504    Simon MacCorkindale
Name: Actor, dtype: object",['Joe Alves'],Peter Benchley (suggested by the novel \,English,"42,200,000",USA,22 Jul 1983,99 min,3.5,5 nominations.,tt0085750.jpg
Blue Thunder,"Action, Crime, Drama","22187     Malcolm McDowell
56614         Roy Scheider
88711          Candy Clark
111854       Anthony James
132291        Warren Oates
148411        Daniel Stern
Name: Actor, dtype: object",['John Badham'],"Dan O'Bannon, Don Jakoby",English,"42,300,000",USA,13 May 1983,109 min,6.3,Nominated for 1 Oscar. Another 1 win & 2 nominations.,tt0085255.jpg
Yentl,"Drama, Musical, Romance","['Barbra Streisand', 'Mandy Patinkin', 'Amy Irving', 'Nehemiah Persoff']",['Barbra Streisand'],"Jack Rosenthal (screenplay), Barbra Streisand (screenplay), Isaac Bashevis Singer (story)",English,"30,400,000","UK, USA",06 Jan 1984,132 min,6.6,Won 1 Oscar. Another 5 wins & 14 nominations.,tt0086619.jpg
Silkwood,"Biography, Drama, History","['Meryl Streep', 'Kurt Russell', 'Cher', 'Craig T. Nelson']",['Mike Nichols'],"Nora Ephron, Alice Arlen",English,"35,600,000",USA,27 Jan 1984,131 min,7.2,Nominated for 5 Oscars. Another 2 wins & 13 nominations.,tt0086312.jpg
Psycho II,"Crime, Horror, Mystery","23782     Anthony Perkins
27701           Meg Tilly
41862        Dennis Franz
71596       Robert Loggia
101857     Lee Garlington
127057         Vera Miles
134879         Oz Perkins
Name: Actor, dtype: object",['Richard Franklin'],"Tom Holland, Robert Bloch (characters)",English,"32,000,000",USA,03 Jun 1983,113 min,6.4,2 nominations.,tt0086154.jpg
Twilight Zone: The Movie,"Horror, Sci-Fi","4085            Dan Aykroyd
24619      Kathleen Quinlan
34556         Albert Brooks
37551      Scatman Crothers
39368           Donna Dixon
48936          John Lithgow
66144        Kevin McCarthy
68243      Nancy Cartwright
117395     John Larroquette
126506     Burgess Meredith
128953           Vic Morrow
129654            Bill Mumy
143483    William Schallert
158340      Steven Williams
Name: Actor, dtype: object","['Joe Dante', 'John Landis', 'George Miller', 'Steven Spielberg']","Rod Serling (television series The Twilight Zone), John Landis (prologue), John Landis (segment), George Clayton Johnson (screenplay), Richard Matheson (segment), Melissa Mathison (segment), Jerome Bixby (story), Richard Matheson (segment), Richard Matheson (short story \","English, French, German, Vietnamese","29,500,000",USA,24 Jun 1983,101 min,6.5,1 win & 8 nominations.,tt0086491.jpg
High Road to China,"Adventure, Drama, Romance","12745      Brian Blessed
26141        Tom Selleck
29919     Bess Armstrong
34335    Wilford Brimley
Name: Actor, dtype: object",['Brian G. Hutton'],"Jon Cleary (novel), Sandra Weintraub (screenplay), S. Lee Pogostin (screenplay)","English, German","28,400,000","USA, Yugoslavia, Hong Kong",18 Mar 1983,105 min,6.0,2 nominations.,tt0085678.jpg
